Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Shelburne NYC-an Affinia hotel,29,-1,-1,-1,20,26,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,97,91,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-1,90,78,89,-1,34,34,100,-1,57,45,55,52,39,50,-1,51,-1,-1,50,-1,51,40,54,62,51,64,-1,-1,56,45,55,60,33,43,-1,32,-1,-1,-1,-1,30,21,32,-1,21,31,-1,-1,7,0,8,14,7,15,-1,36,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1
Sheraton LaGuardia East Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,40,-1,-1,41,-1,-1,-1,10,34,35,14,-1,-1,36,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,95,49,96,84,73,100,77,65,72,-1,36,27,19,11,34,26,18,34,48,25,24,33,61,-1,-1,-1,-1,-1,23,71,-1,-1,42,-1,-1,14,22,-1,-1,0,-1,-1,41,32,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,23,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sheraton New York Times Square Hotel,-1,-1,-1,-1,-1,-1,35,-1,14,18,-1,-1,7,9,16,-1,-1,17,7,7,26,8,11,-1,87,80,87,-1,-1,50,-1,-1,-1,56,-1,-1,-1,84,91,99,-1,-1,65,-1,43,26,24,-1,-1,-1,-1,-1,-1,24,-1,-1,29,33,32,-1,-1,-1,100,-1,-1,68,59,-1,-1,62,-1,-1,-1,-1,-1,-1,61,69,59,-1,-1,42,-1,-1,-1,-1,70,-1,-1,36,-1,-1,-1,-1,59,-1,-1,49,-1,-1,-1,-1,41,-1,-1,22,49,-1,-1,32,-1,-1,11,-1,19,-1,-1,-1,-1,-1,-1,35,31,-1,20,23,-1,-1,-1,-1,-1,-1,48,31,30,23,-1,-1,-1,-1,-1,-1,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1,85,64,-1
Smyth A Thompson Hotel,15,26,29,26,-1,-1,-1,-1,12,15,17,26,9,8,6,12,0,0,8,-1,14,5,-1,-1,65,61,66,66,59,58,57,62,75,56,68,-1,67,64,66,55,42,55,-1,-1,43,-1,-1,42,51,63,63,51,48,-1,-1,-1,43,54,-1,-1,43,38,37,41,-1,-1,45,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,68,-1,-1,-1,67,64,82,83,-1,45,-1,-1,80,-1,-1,73,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,32,-1,-1,-1,50,41
SpringHill Suites by Marriott Newark Liberty International,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,54,100,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,65,19,-1,-1,-1,19,60,65,32,23,23,28,-1,-1,55,-1,-1,-1,-1,-1,-1,24,19,16,26,25,-1,-1,42,47,-1,-1,52,57,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,45,47,56,-1,-1,-1,-1,-1,11,17,-1,-1,46,46,37,34,-1,13,-1,-1,-1,5,-1,-1,-1,-1,-1,0,-1,31,-1,-1,37,39,-1,-1,-1,-1,-1,-1
Super 8 Brooklyn   Park Slope Hotel,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1
TRYP By Wyndham Times Square South,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,87,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,61,-1,-1,-1,71,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,0,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Benjamin,18,21,-1,-1,8,12,-1,-1,-1,-1,-1,-1,9,13,13,-1,5,8,10,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,55,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,39,36,-1,61,62,-1,-1,-1,-1,-1,-1,-1,56,59,-1,-1,-1,-1,-1,-1,85,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,66,68,-1,-1,-1,-1,-1,43,50,51,-1,-1,-1,100,-1,53,-1,62,-1,44,51,53,-1,43,50,51,-1,56,63,66,-1,41,44,44,41,-1,37,39,-1,-1,-1,-1,-1,32,38,-1,-1,-1,-1,38,-1,1,5,-1,-1,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Carlyle A Rosewood Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,39,-1,0,39,54,-1,8,-1,73,73,-1,29,32,32,29,-1,27,27,29,39,37,42,47,29,30,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,29,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,32,32,39,39,54,60,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,13,17,22,8,13,17,22,21,22,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Chatwal a Luxury Collection Hotel New York City,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,62,81,100,33,53,71,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The High Line Hotel,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,86,91,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,47,49,52,-1,-1,-1,-1,89,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,90,96,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,-1,0,1,2,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Kitano New York,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,100,-1,-1,-1,70,-1,-1,53,70,83,88,-1,-1,-1,-1,65,30,-1,-1,49,-1,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Lexington New York City Autograph Collection,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,31,20,22,-1,-1,25,24,-1,37,35,-1,68,71,78,77,73,66,53,56,-1,73,68,-1,87,90,97,95,-1,-1,81,83,-1,86,61,-1,100,-1,-1,96,-1,-1,67,67,-1,-1,-1,-1,84,-1,-1,99,55,60,76,86,-1,53,47,47,-1,60,58,-1,70,81,-1,-1,78,73,56,59,-1,72,79,-1,52,55,63,-1,78,57,65,67,70,63,74,-1,-1,74,85,-1,56,66,-1,-1,46,46,43,44,-1,67,65,-1,-1,-1,-1,-1,-1,65,-1,-1,43,53,-1,-1,-1,-1,-1,43,-1,-1,53,-1,-1,-1,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,13,30,33,-1,44,33,43,81,65,62,-1
The Lombardy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Mark,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Muse Hotel a Kimpton Hotel,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,76,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,47,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The New York EDITION,-1,14,11,-1,-1,13,13,-1,-1,14,11,-1,-1,14,11,-1,-1,13,13,-1,-1,11,14,-1,-1,50,67,100,-1,59,58,-1,-1,38,28,-1,-1,28,38,-1,-1,-1,-1,-1,-1,49,39,-1,-1,36,47,-1,-1,-1,-1,-1,-1,44,34,-1,-1,50,67,-1,-1,38,43,-1,-1,-1,-1,-1,-1,50,38,-1,-1,38,31,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,38,31,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,34,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,34,-1,-1,-1,-1,34,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,10,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,30,-1,-1
The Out NYC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,36,-1,-1,-1,-1,-1,-1,33,-1,96,100,-1,-1,66,46,24,44,54,62,43,-1,56,35,-1,48,42,42,46,40,34,34,39,7,9,62,69,60,40,55,59,-1,-1,-1,-1,49,43,27,-1,22,17,17,22,11,19,6,10,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Pearl New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Peninsula New York,0,35,36,-1,35,31,-1,-1,0,35,36,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,60,62,-1,22,22,22,22,-1,-1,-1,-1,36,37,39,-1,36,37,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,39,-1,-1,-1,-1,-1,-1,37,39,-1,36,37,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,39,-1,36,37,39,-1,-1,39,37,36,-1,39,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Plaza Hotel,8,10,0,8,-1,8,2,8,17,14,7,-1,11,12,3,11,-1,11,8,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,92,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,96,96,87,42,96,-1,79,83,39,83,-1,52,39,42,87,47,50,97,49,94,76,83,42,40,-1,-1,39,35,38,39,36,33,35,38,36,32,31,35,-1,35,35,47,36,34,35,33,47,30,34,34,38,30,30,36,29,30,30,36,38,34,34,31,36,39,42,39,-1,-1,-1,-1,38,38,38,38,36,35,34,31,36,34,35,-1,34,36,-1,-1,36,21,21,-1,29,21,30,-1,48,-1,49,46
The Premier Hotel New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,16,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,24,36,9,38,28,41,48,35,24,11,36,19,31,39,23,13,20,30,14,0,4,14,46,-1,-1,-1,-1,-1,-1,69,-1,-1,56,69,-1,42,-1,-1,40,45,-1,-1,-1,-1,-1,-1
The Roger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,92,90,68,69,67,70,68,66,69,66,75,78,74,74,90,86,86,86,76,76,80,79,57,60,59,60,54,53,54,52,56,58,56,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,45,45,-1,45,-1,-1,65,16,-1,-1,-1,-1
The Roosevelt Hotel New York City,15,-1,-1,15,-1,-1,-1,-1,25,11,14,15,18,12,14,15,12,11,11,-1,-1,-1,-1,-1,59,-1,-1,-1,69,63,28,74,-1,52,66,-1,-1,78,84,94,42,43,39,70,35,16,70,-1,71,-1,-1,53,42,43,52,52,94,46,74,-1,-1,73,78,78,57,49,49,47,43,43,36,100,57,43,65,57,59,62,61,61,40,47,46,50,60,50,56,78,54,46,52,59,39,44,43,45,-1,46,50,-1,35,50,36,50,57,46,74,26,29,30,25,32,-1,-1,-1,-1,47,49,-1,-1,-1,29,31,32,22,21,25,26,15,15,11,-1,13,18,14,22,23,23,22,26,7,1,7,-1,0,19,1,19,22,-1,15,-1,36,33,33,-1,43,-1,-1,42
The Shoreham Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,24,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,74,-1,100,87,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The St. Regis New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,77,84,-1,-1,-1,-1,67,75,82,88,-1,85,100,-1,-1,-1,-1,-1,91,83,85,70,-1,-1,-1,-1,-1,-1,-1,-1,78,18,24,29,6,12,18,23,16,11,-1,17,10,-1,5,10,59,-1,47,-1,-1,50,56,-1,72,65,65,72,-1,65,59,52,-1,69,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,56,-1,65,-1,-1,-1,-1,-1,-1,15,-1,0,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Standard East Village,100,-1,-1,-1,21,-1,22,19,16,6,11,15,-1,-1,-1,-1,34,31,27,25,-1,47,-1,33,-1,-1,-1,-1,67,68,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,84,-1,-1,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,64,67,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,64,67,65,55,59,89,83,67,57,61,49,44,-1,56,43,37,-1,-1,-1,46,-1,-1,-1,64,64,62,59,55,55,60,52,43,51,-1,-1,51,48,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,55,52,-1,59,28,-1,53,-1,-1,26,45,-1,-1,38,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The SunBright,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,88,70,-1,-1,88,-1,-1,-1,-1,88,-1,-1,68,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,88,-1,-1,57,75,-1,25,44,-1,-1
